web_scraper_order,web_scraper_start_url,rent_raw,area_raw,address_raw,rooms_raw
"1764190537-64","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 12,200.– / month","200m²","Oberdorfstrasse 11, 6318 Walchwil","4.5"
"1764190537-65","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 5,100.– / month","120m²","Waldhof 6, 6300 Zug","4.5"
"1764190537-66","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 4,015.– / month","101m²","Suurstoffi 16, 6343 Risch-Rotkreuz","2.5"
"1764190537-67","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 1,350.– / month","75m²","Industriestrasse 17, 6300 Zug","4.5"
"1764190537-68","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 3,795.– / month","153m²","Röhrliberg 26, 6330 Cham","5.5"
"1764190537-69","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 2,685.– / month","94m²","Burgmatt 1, 6340 Baar","4"
"1764190537-70","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 3,595.– / month","57m²","Baarerstrasse 57, 6300 Zug","2.5"
"1764190537-71","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 5,600.– / month","123m²","Dersbachstrasse 325, 6333 Hünenberg See","3.5"
"1764190537-72","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 15,500.– / month","251m²","Sonnrain 11, 6340 Baar","5.5"
"1764190537-73","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=2","CHF 18,000.– / month","242m²","6300 Zug","5.5"
